Algorithm;Problem;CPU Time [ms];System Time [ms];User Time [ms];Clock Time [ms];Optimize counter;Optimize/sec (CPU) [1/s];Optimize/sec (Clock) [1/s];Exception;Best solution;Best solution (human readable);Depth;Fitness;Operations
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9366];31;1;32;23;20;645;869;none;[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1];[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1];0;2934.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9367];16;1;15;20;20;1250;1000;none;[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0];[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0];0;2794.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9368];31;1;31;23;20;645;869;none;[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1];0;2578.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9369];16;1;16;20;20;1250;1000;none;[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0];[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0];0;3909.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9370];31;1;31;25;20;645;800;none;[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1];[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1];0;3524.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9371];15;1;16;15;20;1333;1333;none;[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1];[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1];0;2906.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9372];16;1;15;23;20;1250;869;none;[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];0;3533.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9373];31;1;32;20;20;645;1000;none;[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1];[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1];0;3005.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9374];16;1;15;20;20;1250;1000;none;[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];0;2519.0;Unknown operation
MyGeneticAlgorithm [p=30, m=0.1];Knapsack [file=knap_30.inst.dat,id=9375];15;1;16;22;20;1333;909;none;[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0];[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0];0;2808.0;Unknown operation
